latitude,longitude,business_id,address,business_name,business_type,community_id
40.03355152941177,-83.10292802941177,20424864,3915 DUBLIN RD,Lifepoint Church of the Nazarene,House of Worship,368.0
40.0513465,-83.02044585,20424876,7 W HENDERSON RD,Maple Grove United Methodist,House of Worship,376.0
40.00161124594227,-82.97474816937181,20424904,1758 CLEVELAND AVE,Uplift Christ Outreach Center,House of Worship,364.0
40.092615078138635,-82.97032158322389,20424908,5959 SHARON WOODS BLVD,Sharon Woods Baptist Church,House of Worship,378.0
39.987731206896555,-82.97893920689654,20424919,1018 SHOEMAKER AVE,House of God New Covenant Church,House of Worship,366.0
39.95545373076923,-82.96824688461538,20424924,492 OAKWOOD AVE,Macedonia Baptist Church,House of Worship,371.0
39.97723178172119,-82.99956267445054,20424959,168 LINCOLN ST,St. John the Baptist,House of Worship,380.0
39.94650985714286,-82.91013195238095,20424969,3227 E LIVINGSTON AVE,American Legion Bexley Post 430,Other,388.0
39.974701654895796,-83.09374800459058,20424990,3330 EL PASO DR,Hope City House Of Prayer,House of Worship,368.0
39.994175301379315,-82.99911992110086,20424995,1426 S 4TH ST,Trinity Shepherd Lighthouse Ministries,House of Worship,362.0
40.12634094354945,-82.983235383536,20425016,653 PARK RD,Park Road Church of Christ,House of Worship,386.0
39.961966,-82.966429,20425034,201 WILSON AVE,Dvine Kingdom Builders,House of Worship,371.0
39.9358844,-83.1600948,20425054,775 GALLOWAY RD,Columbia Heights United Methodist Church,House of Worship,363.0
40.117760323232325,-83.01632811111111,20425065,7459 N HIGH ST,York Golf Course,Golf Course,386.0
39.958253937500004,-83.032605375,20425068,1199 W BROAD ST,Resurrection Outreach International Ministries,House of Worship,374.0
39.922694050000004,-82.9860528256271,20425112,344 HOSACK ST,Fathers House,House of Worship,365.0
39.992995,-82.995965,20425193,1441 N GRANT AVE,American Legion Post 1,Other,362.0
39.99344480466911,-83.11512420415602,20425196,3870 GATEWAY BLVD,Columbus Ohio Temple,House of Worship,368.0
39.94646371085118,-83.06144484878679,20425207,453 S WHEATLAND AVE,Bible-Way Church of Our Lord,House of Worship,370.0
40.04998005,-82.98915924759908,20425214,4141 MAIZE RD,Columbus Chinese Christian Church,House of Worship,378.0
40.06772275,-83.04591408390083,20425235,5099 POSTLEWAITE RD,Grace Presbyterian Church,House of Worship,385.0
40.0327324,-83.0151127,20425247,35 OAKLAND PARK AVE,Columbus Mennonite Church,House of Worship,376.0
39.96116663518851,-83.08632806366353,20425250,231 N ALGONQUIN AVE,Joan Heights Church of Christ,House of Worship,370.0
40.010422,-82.987363,20425256,827 E MAYNARD AVE,Revival Covenant Church,House of Worship,364.0
39.93003643506004,-82.81560532036066,20425265,6954 AMERICANA PKWY,Equip U Ministries,House of Worship,367.0
40.10578055,-83.06366542108849,20425268,7260 SMOKY ROW RD,Smoky Row Brethren Church,House of Worship,384.0
39.896752112312235,-82.99518399220845,20425289,3176 S HIGH ST,Judah Tabernacle,House of Worship,359.0
39.96637858620689,-82.9724607586207,20425290,26 N 21ST ST,Pilgrim Baptist Church,House of Worship,371.0
39.92552905,-82.99384002408206,20425294,52 REEB AVE,Unity Temple Church of God in Christ,House of Worship,365.0
39.94167215776803,-82.86714324009955,20425297,1660 LATTIMER DR,Walnut Heights Baptist Church,House of Worship,388.0
39.98099555,-82.98034880165493,20425305,781 ST CLAIR AVE,Victory Christian Fellowship Church,House of Worship,366.0
40.02419092307692,-82.92845288461538,20425306,2505 N CASSADY AVE,Howard Community Center,Community/Recreation Center,375.0
39.908142,-83.119241,20425321,2199 HOLT RD,Redeemers Church West,House of Worship,363.0
40.1151178,-83.08936021464658,20425331,7350 SAWMILL RD,Fellowship Lutheran Church,House of Worship,384.0
39.9644002,-82.98778017236617,20425340,480 E BROAD ST,Columbus Museum of Art,Museum,379.0
40.04540485,-82.9893396776003,20425342,3901 MAIZE RD,Maize Manor United Methodist Church,House of Worship,373.0
40.03789936446793,-82.94721344053102,20425348,3400 KOHR BLVD,New Covenant Believers Church,House of Worship,375.0
40.002422,-82.998453,20425367,1934 N 4TH ST,Xenos Christian Fellowship,House of Worship,362.0
40.03428705,-82.9835038252784,20425377,3350 ATWOOD TER,Faith Community Wesleyan Church,House of Worship,373.0
39.94759345,-82.90515479238587,20425384,1184 BARNETT RD,Barnett Community Center,Community/Recreation Center,388.0
39.923533,-83.043464,20425417,1542 GREENLEAF RD,Southwest Freewill Baptist Church,House of Worship,361.0
39.974117,-82.98077,20425421,461 ST CLAIR AVE,Trinity Baptist Church,House of Worship,371.0
39.983713,-83.003389,20425426,49 E 3RD AVE,Columbus First Free Will Baptist,House of Worship,380.0
39.9246529,-82.98816490757903,20425463,277 REEB AVE,St. Ladislas Church,House of Worship,365.0
39.98212261724449,-82.99430094767335,20425473,237 W 2ND AVE,Grace Central Presbyterian Church,House of Worship,380.0
40.08240515676888,-83.05351608211855,20425480,5970 GODOWN RD,Christian Fellowship Church,House of Worship,385.0
39.98536429208436,-83.05236143576501,20425481,1739 W 3RD AVE,Columbus Italian Club,Other,369.0
39.977159929479406,-82.96375373304504,20425505,507 BASSETT AVE,Holy Miracle Church of God,House of Worship,371.0
40.02720266666667,-82.95555266666666,20425552,2116 AGLER RD,Rhema Christian Center,House of Worship,375.0
39.936797,-82.897572,20425565,1712 COURTRIGHT RD,Mt Sinai Holy Temple Church,House of Worship,388.0
40.144920299999995,-83.0013439890397,20425591,9480 S OLD STATE RD,Korean Presbyterian Church Of Columbus,House of Worship,386.0
40.0621805,-82.9653347,20425602,4625 MORSE CENTRE,Gillie Community Senior Center,Community/Recreation Center,378.0
39.9565653130625,-82.96331885834263,20425603,462 KIMBALL PL,Mt Period Baptist Church,House of Worship,371.0
40.054257400000004,-82.9410852,20425619,4142 WESTERVILLE RD,First Free Methodist Church,House of Worship,375.0
